63	Union{Nothing, Int64}"103, 137, 237, 64, 110, 109, 216, 98, 112"	"21.3169, 19.5929, 143.528, 111.242, 110.965, 51.4565, 25.113, 24.7158, 97.2637"	"213.169, 195.929, 1435.28, 1112.42, 1109.65, 514.565, 251.13, 247.158, 972.637"	"257.841, 211.4, 141.598, 196.003, 156.016, 174.063, 189.18, 151.053, 176.777"	1000.0	1010.0	2.0981783461752944e6
64	Union{Nothing, Int64}"103, 63, 104, 112"	"207.639, 111.242, 210.067, 1.92565"	"2076.39, 1112.42, 2100.67, 19.2565"	"79.9312, 196.003, 54.9181, 144.627"	1000.0	1010.0	2.1336050467400486e6
65	Union{Nothing, Int64}"120, 236, 116, 66, 235, 239"	"142.461, 118.449, 137.986, 88.3449, 45.4047, 15.3826"	"1424.61, 1184.49, 1379.86, 883.449, 454.047, 153.826"	"135.724, 154.379, 123.0, 125.0, 185.801, 170.449"	1000.0	1010.0	18531.498166757076
66	Union{Nothing, Int64}"120, 65, 257, 239, 25"	"49.1105, 88.3449, 164.082, 168.031, 116.227"	"491.105, 883.449, 1640.82, 1680.31, 1162.27"	"174.774, 125.0, 134.536, 123.199, 204.883"	1000.0	1010.0	20816.89753378043
67	Union{Nothing, Int64}"201, 70, 73, 218, 217, 68, 212"	"146.456, 65.3333, 67.5646, 106.209, 31.1075, 14.8394, 101.917"	"1464.56, 653.333, 675.646, 1062.09, 311.075, 148.394, 1019.17"	"84.2912, 168.217, 160.702, 186.546, 207.498, 199.905, 202.181"	1000.0	1010.0	37075.620868090016
68	Union{Nothing, Int64}"201, 67, 207, 213, 212, 209, 17"	"120.204, 14.8394, 64.8045, 158.609, 100.278, 127.435, 55.8801"	"1202.04, 148.394, 648.045, 1586.09, 1002.78, 1274.35, 558.801"	"151.476, 199.905, 160.705, 127.346, 262.017, 106.042, 171.825"	1000.0	1010.0	79297.21853966406
69	Union{Nothing, Int64}"43, 202, 200, 70, 108, 105, 117"	"186.303, 77.163, 34.7731, 179.346, 44.1379, 255.197, 217.984"	"1863.03, 771.63, 347.731, 1793.46, 441.379, 2551.97, 2179.84"	"190.507, 364.574, 473.207, 177.2, 297.545, 236.597, 375.682"	1000.0	1010.0	646015.210086944
70	Union{Nothing, Int64}"43, 69, 105, 102, 73, 67, 50, 201"	"96.9087, 179.346, 24.2959, 2.67307, 122.542, 65.3333, 107.677, 104.754"	"969.087, 1793.46, 242.959, 26.7307, 1225.42, 653.333, 1076.77, 1047.54"	"248.453, 177.2, 223.166, 286.256, 244.818, 168.217, 158.142, 118.068"	1000.0	1010.0	559288.561412929
71	Union{Nothing, Int64}"35, 72, 76, 203, 44"	"45.928, 203.212, 160.019, 151.234, 155.298"	"459.28, 2032.12, 1600.19, 1512.34, 1552.98"	"226.135, 142.636, 180.427, 186.067, 193.794"	1000.0	1010.0	2.3808557519198693e6
72	Union{Nothing, Int64}"35, 71, 76, 46, 75, 205"	"183.712, 203.212, 8.72104, 118.682, 33.4527, 161.297"	"1837.12, 2032.12, 87.2104, 1186.82, 334.527, 1612.97"	"88.8144, 142.636, 313.102, 261.704, 202.002, 317.107"	1000.0	1010.0	2.4369717162992293e6
